Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDF33,1846.0,OUT049
DRK37,3032.0,OUT013
DRH49,1316.0,OUT045
FDT58,2692.0,OUT013
FDD41,1496.0,OUT018
FDP40,1596.0,OUT018
FDM51,3156.0,OUT027
FDO45,-426.0,OUT010
FDW33,-202.0,OUT010
FDY24,864.0,OUT045
FDB10,1870.0,OUT010
FDM40,2340.0,OUT035
NCI06,2892.0,OUT017
FDW12,462.0,OUT019
FDX48,3972.0,OUT027
NCW05,3096.0,OUT027
FDX27,1676.0,OUT017
DRM37,3060.0,OUT045
FDA38,3736.0,OUT045
FDR36,710.0,OUT046
FDZ45,3150.0,OUT046
FDG05,2672.0,OUT017
FDK28,4112.0,OUT013
FDV47,1328.0,OUT045
FDN21,2488.0,OUT045
FDP20,3492.0,OUT027
FDI35,2824.0,OUT045
DRY23,812.0,OUT013
FDA56,2060.0,OUT017
FDB09,2012.0,OUT013
NCO26,3260.0,OUT027
FDQ49,2332.0,OUT018
FDI52,3400.0,OUT027
FDZ44,3320.0,OUT027
FDZ09,2372.0,OUT018
FDY03,1982.0,OUT049
NCG42,2128.0,OUT017
DRI13,4912.0,OUT027
FDQ32,2116.0,OUT013
FDW16,1636.0,OUT035
FDU27,830.0,OUT046
FDR28,770.0,OUT010
FDQ49,702.0,OUT010
FDS37,1862.0,OUT046
FDW26,3292.0,OUT018
FDX12,3672.0,OUT018
NCP06,2404.0,OUT013
FDW45,438.0,OUT010
NCN30,1606.0,OUT049
FDN24,982.0,OUT049
NCL41,1960.0,OUT027
FDR02,-122.0,OUT019
FDD09,1014.0,OUT010
FDS33,-494.0,OUT010
FDU22,1840.0,OUT045
FDI53,2668.0,OUT013
DRH01,2898.0,OUT049
FDX32,2380.0,OUT013
NCP30,412.0,OUT018
FDB60,3032.0,OUT045
FDB14,1686.0,OUT049
NCP02,1002.0,OUT035
FDJ10,2348.0,OUT017
FDG34,1846.0,OUT046
NCB18,1456.0,OUT017
FDM16,1390.0,OUT049
FDW25,1132.0,OUT018
FDB35,-370.0,OUT010
DRN11,2296.0,OUT013
FDF41,1974.0,OUT019
FDH16,1352.0,OUT045
NCQ50,3112.0,OUT018
DRH23,684.0,OUT018
DRJ37,2464.0,OUT013
DRJ24,4352.0,OUT027
FDY16,3088.0,OUT035
FDQ27,1680.0,OUT045
FDZ33,2288.0,OUT045
FDF29,2096.0,OUT045
FDA08,2778.0,OUT049
FDG31,1078.0,OUT046
FDE34,950.0,OUT019
NCR30,2604.0,OUT027
FDV33,4244.0,OUT035
DRZ24,1692.0,OUT018
NCL54,2838.0,OUT035
FDR12,2918.0,OUT049
NCC54,3754.0,OUT046
DRN59,820.0,OUT013
FDX50,-134.0,OUT019
FDV31,4268.0,OUT027
NCA29,4144.0,OUT027
FDW60,2990.0,OUT049
FDX08,2980.0,OUT017
DRD49,3748.0,OUT013
FDD33,3662.0,OUT046
FDW35,764.0,OUT013
FDJ36,1780.0,OUT017
FDV51,2756.0,OUT035
FDW36,1710.0,OUT046
FDH35,2638.0,OUT046
NCS30,3476.0,OUT027
FDN49,776.0,OUT017
FDL08,3672.0,OUT018
FDI09,3900.0,OUT013
FDP19,1828.0,OUT018
FDU21,-1282.0,OUT010
NCP41,1614.0,OUT045
FDY10,1856.0,OUT013
FDP12,452.0,OUT018
NCN26,1954.0,OUT049
FDK44,2808.0,OUT013
FDC28,1886.0,OUT049
FDJ41,5592.0,OUT027
NCT29,2026.0,OUT035
NCH42,1658.0,OUT019
FDU60,2500.0,OUT018
FDS02,3040.0,OUT045
FDC51,2046.0,OUT046
FDU03,3004.0,OUT013
FDX39,3336.0,OUT045
NCY05,-1314.0,OUT010
NCL06,5488.0,OUT027
FDD32,1476.0,OUT035
NCN41,1842.0,OUT045
NCX53,2350.0,OUT049
FDU57,518.0,OUT019
FDQ23,1678.0,OUT046
FDQ52,3840.0,OUT045
FDC14,672.0,OUT045
FDY09,2924.0,OUT035
FDQ28,2480.0,OUT045
FDV25,3502.0,OUT046
FDJ07,1984.0,OUT035
DRB25,1814.0,OUT049
FDK52,1686.0,OUT019
FDY52,2500.0,OUT027
FDB28,3118.0,OUT046
FDT36,724.0,OUT035
FDV25,3600.0,OUT017
NCN07,3484.0,OUT027
FDC57,3204.0,OUT017
FDQ03,3572.0,OUT018
FDU23,2756.0,OUT017
NCX41,3442.0,OUT035
NCD06,822.0,OUT035
FDW08,1636.0,OUT045
NCU29,2340.0,OUT017
NCE06,2524.0,OUT013
FDV52,38.0,OUT010
FDB02,2956.0,OUT017
NCR18,618.0,OUT045
FDK16,1630.0,OUT049
NCQ29,2118.0,OUT010
FDZ01,-162.0,OUT019
FDW27,2636.0,OUT035
FDD17,3528.0,OUT018
FDW39,2936.0,OUT013
DRH59,1120.0,OUT045
FDS52,1684.0,OUT013
FDU40,4544.0,OUT027
NCF54,2748.0,OUT013
FDH46,1640.0,OUT045
NCP14,1710.0,OUT049
FDH50,3094.0,OUT049
DRF15,574.0,OUT010
FDV27,2908.0,OUT027
NCJ06,1998.0,OUT049
FDN02,3020.0,OUT018
FDQ51,982.0,OUT049
FDQ07,3652.0,OUT017
FDS45,1862.0,OUT049
NCJ06,1822.0,OUT045
FDD36,1992.0,OUT035
FDY25,2848.0,OUT045
FDU52,2470.0,OUT046
DRK47,3664.0,OUT017
NCL30,2096.0,OUT017
FDN22,4140.0,OUT035
NCF30,3392.0,OUT027
FDK03,4196.0,OUT035
FDT45,1008.0,OUT017
NCC54,5164.0,OUT027
FDP08,2912.0,OUT018
FDU44,2650.0,OUT046
DRG39,992.0,OUT035
FDU32,2094.0,OUT049
FDY27,2958.0,OUT049
NCP54,1972.0,OUT013
NCZ41,2114.0,OUT049
DRL49,2324.0,OUT013
FDI05,1044.0,OUT018
FDY56,3560.0,OUT045
DRC13,2124.0,OUT013
NCV29,2888.0,OUT017
FDR24,1614.0,OUT049
FDZ34,2812.0,OUT018
FDP37,2100.0,OUT035
FDX08,4316.0,OUT027
FDS57,2184.0,OUT045
NCG18,1726.0,OUT049
FDK25,2480.0,OUT018
FDH53,1530.0,OUT049
DRI59,3316.0,OUT018
FDA52,2854.0,OUT046
FDT20,-1234.0,OUT010
FDE36,750.0,OUT019
FDI24,2848.0,OUT017
FDB28,2908.0,OUT018
FDV11,2948.0,OUT017
FDP01,2518.0,OUT046
FDD34,4028.0,OUT027
FDJ50,2316.0,OUT027
FDZ44,1936.0,OUT013
DRO59,1336.0,OUT035
DRB48,672.0,OUT045
FDR21,2552.0,OUT018
NCE42,1806.0,OUT010
FDO23,1494.0,OUT046
NCE30,3076.0,OUT018
FDQ22,764.0,OUT035
FDY01,1808.0,OUT045
FDS08,2892.0,OUT017
FDG28,3736.0,OUT018
FDQ51,668.0,OUT018
FDB05,4004.0,OUT017
FDO56,2038.0,OUT049
FDE02,1236.0,OUT018
FDN45,3600.0,OUT017
FDS09,908.0,OUT013
NCA54,2604.0,OUT018
FDP09,1486.0,OUT010
FDC53,1528.0,OUT045
NCM55,2988.0,OUT017
FDL09,2492.0,OUT018
FDA11,-386.0,OUT019
FDA50,1440.0,OUT045
FDC23,2948.0,OUT017
FDE22,2642.0,OUT049
FDD23,3026.0,OUT046
NCA29,2814.0,OUT049
FDK38,2350.0,OUT046
DRC13,2030.0,OUT046
NCP43,2918.0,OUT049
FDX28,1730.0,OUT049
FDF08,1630.0,OUT049
FDZ33,2374.0,OUT046
FDD10,3030.0,OUT049
FDO58,2676.0,OUT017
FDI50,3788.0,OUT017
FDO58,2572.0,OUT045
FDX08,2920.0,OUT013
NCK17,-1234.0,OUT010
FDF39,4316.0,OUT035
FDU45,-30.0,OUT010
NCJ18,1568.0,OUT018
DRC27,1982.0,OUT019
DRC25,1484.0,OUT035
FDU59,2644.0,OUT035
FDU28,3168.0,OUT035
NCP30,666.0,OUT046
FDB39,684.0,OUT018
FDE41,1512.0,OUT013
DRH11,-982.0,OUT010
FDA58,3660.0,OUT045
FDU50,1914.0,OUT046
FDM34,2120.0,OUT013
FDM44,3088.0,OUT027
FDR39,2848.0,OUT045
FDM25,2772.0,OUT045
FDQ49,2678.0,OUT049
DRH25,668.0,OUT018
FDM09,4200.0,OUT027
FDL44,694.0,OUT019
NCR42,280.0,OUT018
DRL59,886.0,OUT046
FDX43,2724.0,OUT013
DRK47,1682.0,OUT010
FDU48,1876.0,OUT018
FDY12,804.0,OUT045
NCN43,1696.0,OUT018
NCM55,2636.0,OUT018
FDQ21,3440.0,OUT027
FDX13,4064.0,OUT035
NCK30,5388.0,OUT027
FDG20,2942.0,OUT049
DRG27,752.0,OUT017
FDY14,3924.0,OUT018
FDP59,1820.0,OUT035
FDU60,2840.0,OUT017
NCC18,738.0,OUT019
DRJ39,3548.0,OUT017
FDS07,1942.0,OUT049
FDM08,5028.0,OUT027
FDP51,1904.0,OUT045
FDU16,1516.0,OUT035
FDH12,1740.0,OUT013
DRE48,1242.0,OUT010
NCL42,5268.0,OUT027
FDR21,2744.0,OUT045
NCW29,2154.0,OUT035
FDO11,4052.0,OUT013
NCM31,2314.0,OUT049
FDV35,550.0,OUT019
FDF58,1120.0,OUT017
NCE43,2730.0,OUT049
FDA02,2460.0,OUT035
DRL37,-1122.0,OUT010
FDR24,1304.0,OUT018
FDW59,1478.0,OUT049
FDS22,950.0,OUT049
FDW24,908.0,OUT017
FDU24,1684.0,OUT035
FDA21,4428.0,OUT027
FDH58,3344.0,OUT027
FDW36,1436.0,OUT018
FDI45,4196.0,OUT027
FDU01,2800.0,OUT018
FDF35,3176.0,OUT027
FDU43,1934.0,OUT019
FDE24,382.0,OUT019
FDK50,2718.0,OUT049
FDG31,972.0,OUT045
FDC60,1416.0,OUT045
FDL36,1492.0,OUT013
FDP21,3104.0,OUT013
FDW16,1452.0,OUT045
FDX02,3644.0,OUT017
FDQ58,3936.0,OUT027
FDT51,1842.0,OUT046
FDD59,1474.0,OUT049
NCM42,1472.0,OUT018
FDA57,468.0,OUT018
FDZ48,1908.0,OUT035
FDE46,2368.0,OUT045
NCZ30,2.0,OUT019
FDB56,3136.0,OUT017
FDA25,3192.0,OUT027
FDD20,2064.0,OUT013
FDL25,1572.0,OUT013
NCO18,2878.0,OUT049
FDJ45,680.0,OUT017
FDR12,2868.0,OUT035
NCF19,-1154.0,OUT010
FDK25,2670.0,OUT046
NCR17,1794.0,OUT046
FDC52,2494.0,OUT046
NCA54,2916.0,OUT017
FDR45,1918.0,OUT010
NCM19,1902.0,OUT049
FDF39,5680.0,OUT027
FDX23,1674.0,OUT049
FDD58,3036.0,OUT027
FDX28,1672.0,OUT013
NCD31,2584.0,OUT013
FDU57,2208.0,OUT018
FDI27,830.0,OUT046
NCM42,1690.0,OUT046
FDD32,2832.0,OUT027
FDI34,3708.0,OUT013
NCM29,2150.0,OUT049
